text,persons,locations,organizations,persons_pred,organizations_pred,locations_pred,TP_persons,FP_persons,FN_persons,support_persons,precision_persons,recall_persons,F1_persons,TP_organizations,FP_organizations,FN_organizations,support_organizations,precision_organizations,recall_organizations,F1_organizations,TP_locations,FP_locations,FN_locations,support_locations,precision_locations,recall_locations,F1_locations
"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Loyola de Palacio;Fischler,,EU,Loyola;Palacio;Fischler,,Spanish;EU,1,2,1,2,0.3333333333333333,0.5,0.4,0,1,1,1,0.0,0.0,0.0,0,2,1,1,0.0,0.0,0.0
.,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
Only France and Britain backed Fischler 's proposal .,Fischler,France;Britain,,Fischler,,France;Britain,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,,,EU,,,EU,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
"Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .",,,,,BSE,,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",,Europe,,,,British;German;British;Europe,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,2,0,1,0.3333333333333333,1.0,0.5
""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",John Lloyd Jones,Germany,Welsh National Farmers ' Union;NFU;BBC radio,Welsh National Farmers;John Lloyd Jones,NFU;BBC,Germany;Union,1,1,0,1,0.5,1.0,0.6666666666666666,1,1,2,3,0.5,0.3333333333333333,0.4,1,1,0,1,0.5,1.0,0.6666666666666666
Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,,Bonn,,,,Bonn;British,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,1,0,1,0.5,1.0,0.6666666666666666
"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",,Germany;Britain,,,,Germany;Britain,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .",,,,,,British,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"Rare Hendrix song draft sells for almost $ 17,000 .",Hendrix,,,Rare;Hendrix,,,1,1,0,1,0.5,1.0,0.6666666666666666,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
LONDON 1996-08-22,,LONDON,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",Jimi Hendrix,U.S.,,Jimi Hendrix,,U.S.,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",Hendrix,Florida;London,,Hendrix,,Florida;London,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",,Nottingham,,,,English,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",Hendrix;Kathy Etchingham,,,Hendrix;Kathy Etchingham,,,2,0,0,2,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",Hendrix,,,Hendrix,,Australian,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
The guitarist died of a drugs overdose in 1970 aged 27 .,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
China says Taiwan spoils atmosphere for talks .,,China;Taiwan,,,,China;Taiwan,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
BEIJING 1996-08-22,,BEIJING,,,,BEIJING,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Lien Chan,China;Taipei;Taiwan Strait;Ukraine;Beijing,,Taipei;Taiwanese Vice;Lien Chan,,China;Taiwan;Beijing,1,2,0,1,0.3333333333333333,1.0,0.5,1,0,0,1,1.0,1.0,1.0,2,1,3,5,0.6666666666666666,0.4,0.5
"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Shen Guofang,Taiwan;Taiwan,Foreign Ministry;Reuters,Shen Guofang,Foreign Ministry,Chinese;Taiwan;Taiwan,1,0,0,1,1.0,1.0,1.0,1,0,1,2,1.0,0.5,0.6666666666666666,1,1,0,1,0.5,1.0,0.6666666666666666
"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Tang Shubei,China;Taipei;Taiwan,,Tang Shubei,,China;Taipei;Taiwan,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,3,0,0,3,1.0,1.0,1.0
""" Now is the time for the two sides to engage in political talks ...",,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .",Tang,,People 's Daily,Daily;Tang,People,,1,1,0,1,0.5,1.0,0.6666666666666666,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Tang,Taiwan;Beijing,Shen;Reuters Television,Shen;Tang,Reuters Television,Taiwan;Beijing,1,1,0,1,0.5,1.0,0.6666666666666666,1,0,1,2,1.0,0.5,0.6666666666666666,2,0,0,2,1.0,1.0,1.0
"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Lien,China;Taipei;Ukraine,,Taiwanese Vice;Lien,,China;Taipei,1,1,0,1,0.5,1.0,0.6666666666666666,1,0,0,1,1.0,1.0,1.0,2,0,1,3,1.0,0.6666666666666666,0.8
China says time right for Taiwan talks .,,China;Taiwan,,,,China;Taiwan,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
BEIJING 1996-08-22,,BEIJING,,,,BEIJING,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,,China;Taiwan,,,,China;Taiwan,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,0,2,1.0,1.0,1.0
"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Tang Shubei,,Xinhua;Association for Relations Across the Taiwan Straits,Tang Shubei;Relations,Xinhua;Association,Taiwan Straits,1,1,0,1,0.5,1.0,0.6666666666666666,1,1,1,2,0.5,0.5,0.5,0,1,1,1,0.0,0.0,0.0
German July car registrations up 14.2 pct yr / yr .,,,,,,German,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
FRANKFURT 1996-08-22,,FRANKFURT,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",,,Federal office for motor vehicles,,Federal,German,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .",,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
Motor-bike registration rose 32.7 percent in the period .,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .",,,,,,Germans;German,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0
Almost all German car manufacturers posted gains in registration numbers in the period .,,,,,,German,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .",,,Volkswagen AG,Volkswagen,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",,,Opel AG;General Motors,Opel,General Motors,,0,1,1,1,0.0,0.0,0.0,1,0,1,2,1.0,0.5,0.6666666666666666,1,0,0,1,1.0,1.0,1.0
"Third was Ford with 35,563 registrations , or 11.7 percent .",,,Ford,Third,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,,,Seat;Porsche,Seat;Porsche,,,0,2,1,1,0.0,0.0,0.0,0,1,2,2,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .",,,Seat,Seat,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
Porsche 's registrations fell to 554 from 643 .,,,Porsche,,,Porsche,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .,,,,,SOCIALISTS,GREEK,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
ATHENS 1996-08-22,,ATHENS,,,,ATHENS,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Simitis;Costas Skandalidis,,,Costas Simitis;Costas Skandalidis,,Greek,2,0,0,2,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis;Skandalidis,,,Costas Simitis;Skandalidis,,,2,0,0,2,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,,Athens Newsroom,Dimitris Kontogiannis;Athens Newsroom,,,1,1,0,1,0.5,1.0,0.6666666666666666,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
BayerVB sets C$ 100 million six-year bond .,,,BayerVB,,BayerVB,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
LONDON 1996-08-22,,LONDON,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
The following bond was announced by lead manager Toronto Dominion .,Toronto Dominion,,,Toronto Dominion,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
BORROWER BAYERISCHE VEREINSBANK,,,BAYERISCHE VEREINSBANK,,BORROWER;BAYERISCHE,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,,,,,AMT;MLN,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96,,,,,TYPE;STRAIGHT;PAY,,1,0,0,1,1.0,1.0,1.0,0,3,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,,,,,FULL;FEES;SPREAD,,1,0,0,1,1.0,1.0,1.0,0,3,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
MOODY AA1 LISTING LUX PAY FREQ =,,,,,MOODY;AA1,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,,US;UK;CA,S&P,P,SALE,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0,1,3,3,0.0,0.0,0.0
NEG PLG NO CRS DEFLT NO FORCE MAJ =,,,,,NEG;PLG,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD,,,,,GERMAN;CTRY,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,,,,,MGT;SELL;PRAECIP,,1,0,0,1,1.0,1.0,1.0,0,3,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,,,,,PCT,,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER,,,BAYERISCHE VEREINSBANK,,BAYERISCHE;VEREINSBANK,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
-- London Newsroom +44 171 542 7658,,,London Newsroom,London Newsroom,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
Venantius sets $ 300 million January 1999 FRN .,,,Venantius,,,Venantius,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
LONDON 1996-08-22,,LONDON,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
The following floating-rate issue was announced by lead manager Lehman Brothers International .,,,Lehman Brothers International,,Lehman Brothers International,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY ),,,VENANTIUS AB,,BORROWER;VENANTIUS;SWEDISH;NATIONAL,,1,0,0,1,1.0,1.0,1.0,0,4,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99,,,,,MLN;SPREAD,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96,,,3M,,TYPE;FRN;LIBOR;DATE,,1,0,0,1,1.0,1.0,1.0,0,4,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP,,,,,FULL,,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
LAST S&P AA+ REOFFER =,,,S&P,P,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
NOTES S SHORT FIRST COUPON,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR,,LONDON;US;UK;JP;FR,,,LONDON;SALE,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,0,1,5,5,0.0,0.0,0.0
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2,,,,,NEG;PLG,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD,,SWEDEN,,,ENGLISH;CTRY,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =,,,,,MGT;SELL,,1,0,0,1,1.0,1.0,1.0,0,2,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
NOTES ISSUED OFF EMTN PROGRAMME,,,,,ISSUED,,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
-- London Newsroom +44 171 542 8863,,,London Newsroom,London Newsroom,,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
Port conditions update - Syria - Lloyds Shipping .,,Syria,Lloyds Shipping,Lloyds Shipping,,Port,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
Port conditions from Lloyds Shipping Intelligence Service --,,,Lloyds Shipping Intelligence Service,Lloyds Shipping Intelligence Service,,Port,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
"LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .",,LATTAKIA;Lattakia;Tartous,,Tartous,Lattakia,LATTAKIA,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,2,3,1.0,0.3333333333333333,0.5
Israel plays down fears of war with Syria .,,Israel;Syria,,,,Israel,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,1,2,1.0,0.5,0.6666666666666666
Colleen Siegel,Colleen Siegel,,,Colleen,Siegel,,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0
JERUSALEM 1996-08-22,,JERUSALEM,,,,JERUSALEM,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .,,Israel;Syria,,Syria,,Israel,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0,1,0,1,2,1.0,0.5,0.6666666666666666
"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .",Itamar Rabinovich,Israel;Washington;Syria;Damascus,Israel Radio,Damascus,Rabinovich,Itamar;Israel;Washington;Israel,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0,2,1,2,4,0.6666666666666666,0.5,0.5714285714285715
""" It appears to me the Syrian priority is still to negotiate .",,,,,,Syrian,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said .",,Washington,,,,Washington,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
Rabinovich is winding up his term as ambassador .,Rabinovich,,,,,Rabinovich,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
"He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .",Eliahu Ben-Elissar,Egypt,Likud,Eliahu Ben-Elissar,Likud,Israeli;Egypt,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,1,0,1,0.5,1.0,0.6666666666666666
"Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .",,Israel;Syria;Washington,,,,Israel;Washington,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,2,0,1,3,1.0,0.6666666666666666,0.8
But it slammed Damascus for creating what it called a dangerous atmosphere .,,Damascus,,Damascus,,,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .,,Syria;Israel;Damascus,,Damascus,,Israel;Israeli,0,1,1,1,0.0,0.0,0.0,1,0,0,1,1.0,1.0,1.0,1,1,2,3,0.5,0.3333333333333333,0.4
It said its arms purchases were for defensive purposes .,,,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0
""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Hafez al-;Assad;David Levy,Israel,Israel Radio,Hafez;Assad;David Levy,,Syrian;Israel;Israeli;Israel,2,1,1,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,1,0.0,0.0,0.0,1,2,0,1,0.3333333333333333,1.0,0.5
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Benjamin Netanyahu,Golan Heights;Israel;Syria;Middle East,,Benjamin Netanyahu,Golan Heights Israel,Tension;Israeli;Middle East,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,1,2,3,4,0.3333333333333333,0.25,0.28571428571428575
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .,,Golan;Golan,,,Golan;Golan,Israeli-Syrian,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0,0,1,1,1,0.0,0.0,0.0
Peace talks between the two sides were last held in February .,,,,,,Peace,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
""" The voices coming out of Damascus are bad , not good .",,Damascus,,,,,1,0,0,1,1.0,1.0,1.0,1,0,0,1,1.0,1.0,1.0,0,1,1,1,0.0,0.0,0.0
