id,text,persons,locations,organizations
18,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",,Germany;Britain,
19,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .",,,
20,"Rare Hendrix song draft sells for almost $ 17,000 .",Hendrix,,
21,LONDON 1996-08-22,,LONDON,
22,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",Jimi Hendrix,U.S.,
23,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",Hendrix,Florida;London,
24,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",,Nottingham,
25,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",Hendrix;Kathy Etchingham,,
26,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",Hendrix,,
27,The guitarist died of a drugs overdose in 1970 aged 27 .,,,
28,China says Taiwan spoils atmosphere for talks .,,China;Taiwan,
29,BEIJING 1996-08-22,,BEIJING,
30,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Lien Chan,China;Taipei;Taiwan Strait;Ukraine;Beijing,
31,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Shen Guofang,Taiwan;Taiwan,Foreign Ministry;Reuters
32,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Tang Shubei,China;Taipei;Taiwan,
33,""" Now is the time for the two sides to engage in political talks ...",,,
34,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .",Tang,,People 's Daily
35,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Tang,Taiwan;Beijing,Shen;Reuters Television
36,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Lien,China;Taipei;Ukraine,
37,China says time right for Taiwan talks .,,China;Taiwan,
38,BEIJING 1996-08-22,,BEIJING,
39,China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,,China;Taiwan,
40,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Tang Shubei,,Xinhua;Association for Relations Across the Taiwan Straits
41,German July car registrations up 14.2 pct yr / yr .,,,
42,FRANKFURT 1996-08-22,,FRANKFURT,
43,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",,,Federal office for motor vehicles
44,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .",,,
45,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,,,
46,Motor-bike registration rose 32.7 percent in the period .,,,
47,"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .",,,
48,Almost all German car manufacturers posted gains in registration numbers in the period .,,,
49,"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .",,,Volkswagen AG
50,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",,,Opel AG;General Motors
51,"Third was Ford with 35,563 registrations , or 11.7 percent .",,,Ford
52,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,,,Seat;Porsche
53,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .",,,Seat
54,Porsche 's registrations fell to 554 from 643 .,,,Porsche
55,GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .,,,
56,ATHENS 1996-08-22,,ATHENS,
57,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Simitis;Costas Skandalidis,,
58,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis;Skandalidis,,
59,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,,Athens Newsroom
60,BayerVB sets C$ 100 million six-year bond .,,,BayerVB
61,LONDON 1996-08-22,,LONDON,
62,The following bond was announced by lead manager Toronto Dominion .,Toronto Dominion,,
63,BORROWER BAYERISCHE VEREINSBANK,,,BAYERISCHE VEREINSBANK
64,AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,,,
65,TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96,,,
66,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,,,
67,MOODY AA1 LISTING LUX PAY FREQ =,,,
68,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,,US;UK;CA,S&P
69,NEG PLG NO CRS DEFLT NO FORCE MAJ =,,,
70,GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD,,,
71,MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,,,
72,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,,,
73,NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER,,,BAYERISCHE VEREINSBANK
74,-- London Newsroom +44 171 542 7658,,,London Newsroom
75,Venantius sets $ 300 million January 1999 FRN .,,,Venantius
76,LONDON 1996-08-22,,LONDON,
77,The following floating-rate issue was announced by lead manager Lehman Brothers International .,,,Lehman Brothers International
78,BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY ),,,VENANTIUS AB
79,AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99,,,
80,TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96,,,3M
81,LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP,,,
82,LAST S&P AA+ REOFFER =,,,S&P
83,NOTES S SHORT FIRST COUPON,,,
84,LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR,,LONDON;US;UK;JP;FR,
85,NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2,,,
86,GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD,,SWEDEN,
87,MGT / UND 5 BP SELL CONC 5 BP PRAECIP =,,,
88,NOTES ISSUED OFF EMTN PROGRAMME,,,
89,-- London Newsroom +44 171 542 8863,,,London Newsroom
90,Port conditions update - Syria - Lloyds Shipping .,,Syria,Lloyds Shipping
91,Port conditions from Lloyds Shipping Intelligence Service --,,,Lloyds Shipping Intelligence Service
92,"LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .",,LATTAKIA;Lattakia;Tartous,
93,Israel plays down fears of war with Syria .,,Israel;Syria,
94,Colleen Siegel,Colleen Siegel,,
95,JERUSALEM 1996-08-22,,JERUSALEM,
96,Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .,,Israel;Syria,
97,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .",Itamar Rabinovich,Israel;Washington;Syria;Damascus,Israel Radio
98,""" It appears to me the Syrian priority is still to negotiate .",,,
99,"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said .",,Washington,
100,Rabinovich is winding up his term as ambassador .,Rabinovich,,
101,"He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .",Eliahu Ben-Elissar,Egypt,Likud
102,"Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .",,Israel;Syria;Washington,
103,But it slammed Damascus for creating what it called a dangerous atmosphere .,,Damascus,
104,Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .,,Syria;Israel;Damascus,
105,It said its arms purchases were for defensive purposes .,,,
106,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Hafez al-;Assad;David Levy,Israel,Israel Radio
107,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Benjamin Netanyahu,Golan Heights;Israel;Syria;Middle East,
108,Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .,,Golan;Golan,
109,Peace talks between the two sides were last held in February .,,,
110,""" The voices coming out of Damascus are bad , not good .",,Damascus,
111,The media ...,,,
112,are full of expressions and declarations that must be worrying ...,,,
113,"this artificial atmosphere is very dangerous because those who spread it could become its prisoners , "" Levy said .",Levy,,
114,""" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , "" he said . """,,Syria;Israel,
115,"We do not want a war , God forbid .",God,,
116,"No one benefits from wars . """,,,
117,"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel .",,Israel;Damascus;Israel,Channel Two
118,It gave no source for the report .,,,
119,Netanyahu and Levy 's spokesmen said they could not confirm it .,Netanyahu;Levy,,
120,"The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .",Netanyahu,Syria;Cairo;United States;Moscow,
121,Polish diplomat denies nurses stranded in Libya .,,Libya,
122,TUNIS 1996-08-22,,TUNIS,
123,A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .,,Libya,
124,""" This is not true .",,,
125,"Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , "" the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone .",Tadeusz Awdankiewicz,Libya;Tripoli,Reuters
126,"Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .",Awdankiewicz,Poland;Libya,
127,He said that there are an estimated 800 Polish nurses working in Libya .,,Libya,
128,Two Iranian opposition leaders meet in Baghdad .,,Baghdad,
129,Hassan Hafidh,Hassan Hafidh,,
130,BAGHDAD 1996-08-22,,BAGHDAD,
131,An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .,,Iraq;Iran;Iraq,
132,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,Massoud Rajavi;Hassan Rastegar,Baghdad;Iran,Mujahideen Khalq;Kurdistan Democratic Party of Iran;KDPI
133,""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said .",,Iranian Kurdistan,Resistance
134,"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" .",,,Mujahideen Khalq
135,Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .,,Iran;Iraq;Baghdad,KDPI
136,Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .,,Iran,Iraqi Kurdish Patriotic Union of Kurdistan;PUK
137,"PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .",,Iraq;Iraq;Kuwait,PUK;Kurdistan Democratic Party;KDP
138,Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .,,,
139,Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .,,Qasri;Suleimaniya,Mujahideen Khalq;KDP
140,It said about 100 Iraqi Kurds were killed or wounded in the attack .,,,
141,Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .,,Iran;Turkey;Iraq,
142,A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .,,Turkey;Baghdad,
143,Saudi riyal rates steady in quiet summer trade .,,,
144,MANAMA 1996-08-22,,MANAMA,
145,"The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .",,,
146,""" There were no changes in Saudi riyal rates .",,,
147,"The market was very quiet because of summer holidays , "" one dealer said .",,,
148,The spot riyal was put at 3.7504 / 06 to the dollar .,,,
149,"One-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .",,,
150,"One-year funds were at six , 5-7/8 percent .",,,
151,Israel approves Arafat 's flight to West Bank .,Arafat,Israel;West Bank,
152,JERUSALEM 1996-08-22,,JERUSALEM,
153,"Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .",Yasser Arafat;Arafat,Israel;West Bank,
154,""" The problem is over .",,,
155,"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , "" Nabil Abu Rdainah told Reuters .",Nabil Abu Rdainah,West Bank,Reuters
156,Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .,Arafat;Shimon Peres,West Bank;Ramallah;Gaza;Israel,
157,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,Benjamin Netanyahu;Arafat,Ramallah,
158,"Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .",Arafat,Allenby Bridge;Jordan;West Bank,PLO
159,"Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .",Abu Rdainah;Arafat,West Bank;Israel;Gaza,
160,Arafat to meet Peres in Gaza after flight ban .,Arafat;Peres,Gaza,
161,JERUSALEM 1996-08-22,,JERUSALEM,
162,Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .,Yasser Arafat;Shimon Peres,Gaza;West Bank,
163,""" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned , "" Peres ' office said .",Peres;Arafat;Peres,Erez;Gaza;Ramallah,
164,Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .,Arafat;Peres,Israel;West Bank,
165,"Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .",Benjamin Netanyahu;Peres,,Likud
166,Afghan UAE embassy says Taleban guards going home .,,UAE,
167,Hilary Gush,Hilary Gush,,
168,DUBAI 1996-08-22,,DUBAI,
169,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",,United Arab Emirates;Afghanistan;Abu Dhabi,
170,""" Our ambassador is in touch with the UAE foreign ministry .",,UAE,
171,"Their return to Afghanistan will take place in two or three days , "" an embassy official said .",,Afghanistan,
172,""" The embassy is issuing them travel documents for their return to their homeland .",,,
173,"There is no objection to their travel , "" he added .",,,
174,The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .,,UAE;Sharjah;Kandahar;Afghanistan,
175,"The UAE said on Monday it would hand over the three to the International Red Crescent , possibly last Tuesday .",,UAE,International Red Crescent
176,It has since been silent on the issue .,,,
177,"When asked whether the three guards would travel back to Kandahar or the Afghan capital Kabul , the embassy official said : "" That has not been decided , but possibly Kandahar . """,,Kandahar;Kabul;Kandahar,
178,Kandahar is the headquarters of the opposition Taleban militia .,,Kandahar,
179,"Kabul is controlled by President Burhanuddin Rabbani 's government , which Taleban is fighting to overthrow .",Burhanuddin Rabbani,Kabul,
180,"The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .",,Abu Dhabi,
181,He did not elaborate .,,,
182,"The Russians , working for the Aerostan firm in the Russian republic of Tatarstan , were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 .",,Tatarstan,Aerostan
183,Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government .,Rabbani,Albania,
184,Moscow said the crew 's nationality was coincidental .,,Moscow,
185,Numerous diplomatic attempts to free the seven failed .,,,
186,"The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .",,UAE;Abu Dhabi,
187,Iraq 's Saddam meets Russia 's Zhirinovsky .,Saddam;Zhirinovsky,Iraq;Russia,
188,BAGHDAD 1996-08-22,,BAGHDAD,
189,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .",Saddam Hussein;Vladimir Zhirinovsky,Baghdad;Moscow,
190,""" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , "" the papers said .",Saddam Hussein,Iraq;Russia,
191,"They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) "" are calling for an immediate lifting of the embargo "" imposed on Iraq after its 1990 invasion of Kuwait .",Zhirinovsky;Saddam,Baghdad;Iraq;Kuwait,Liberal Democratic party;Duma
192,Zhirinovsky said on Tuesday he would press the Russian government to help end U.N. trade sanctions on Iraq and blamed Moscow for delaying establishment of good ties with Baghdad .,Zhirinovsky,Iraq;Moscow;Baghdad,U.N.
193,""" Our stand is firm , namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq , "" he told reporters .",,Iraq;Russia;Iraq,
194,Zhirinovsky visited Iraq twice in 1995 .,Zhirinovsky,Iraq,
195,"Last October he was invited to attend the referendum held on Iraq 's presidency , which extended Saddam 's term for seven more years .",Saddam,Iraq,
196,PRESS DIGEST - Iraq - Aug 22 .,,Iraq,
197,BAGHDAD 1996-08-22,,BAGHDAD,
198,These are some of the leading stories in the official Iraqi press on Thursday .,,,
199,Reuters has not verified these stories and does not vouch for their accuracy .,,,Reuters
200,THAWRA,,,THAWRA
201,- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,Saddam Hussein;Vladimir Zhirinovsky,Iraq,
202,- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .,,Turkey;Baghdad,
203,IRAQ,,IRAQ,
204,- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,,Umm Qasr;Gulf,
205,PRESS DIGEST - Lebanon - Aug 22 .,,Lebanon,
206,BEIRUT 1996-08-22,,BEIRUT,
207,These are the leading stories in the Beirut press on Thursday .,,Beirut,
208,Reuters has not verified these stories and does not vouch for their accuracy .,,,Reuters
209,AN-NAHAR,,,AN-NAHAR
210,- Confrontation is escalating between Hizbollah and the government .,,,Hizbollah
211,- Prime Minister Hariri : Israeli threats do no serve peace .,Hariri,,
212,AS-SAFIR,,,AS-SAFIR
213,- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Berri,Israel;Syria;Lebanon,
214,- Parliamentary battle in Beirut ..,,Beirut,
215,The three main lists have been prepared .,,,
216,AL-ANWAR,,,AL-ANWAR
217,- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday .,,Mount Lebanon,
218,AD-DIYAR,,,AD-DIYAR
219,- Financial negotiations between Lebanon and Pakistan .,,Lebanon;Pakistan,
220,- Hariri to step into the election battle with an incomplete list .,Hariri,,
221,NIDA'A AL-WATAN,,,NIDA'A AL-WATAN
222,- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .,Sfeir,,Maronite
223,CME live and feeder cattle calls range mixed .,,,CME
224,CHICAGO 1996-08-22,,CHICAGO,
225,"Early calls on CME live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower , livestock analysts said .",,,CME
226,The continued strong tone to cash cattle and beef markets should prompt further support .,,,
227,"Outlook for a bullish cattle-on-feed report is also expected to lend support and prompt some bull spreading , analysts said .",,,
228,"However , trade will likely be light and prices could drift on evening up ahead of the report .",,,
229,"Cash markets are also expected to be quiet after the record amount of feedlot cattle traded this week , they said .",,,
230,Kindercare says debt buy to hit Q1 results .,,,
231,"MONTGOMERY , Ala .",,MONTGOMERY;Ala,
232,1996-08-22,,,
233,KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .,,,KinderCare Learning Centers Inc
234,"The company said that during the quarter , which began June 1 , it bought $ 30 million par value of its outstanding 10-3/8 percent senior notes due 2001 .",,,
235,The notes were bought for $ 31.5 million .,,,
236,"Philip Maslowe , chief financial officer of the preschool and child care company , said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . """,Philip Maslowe,,
237,RESEARCH ALERT - Lehman starts SNET .,,,Lehman;SNET
238,"-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating , his office said .",Blake Bath,,Lehman;Southern New England Telecommunciations Corp
239,"-- The analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share , his office said .",,,
240,"-- The analyst also set an earnings estimate for the 1997 year , but the figure was not immediately available .",,,
241,-- Southern New England closed at 38-1/2 Wednesday .,,,Southern New England
242,"-- E. Auchard , Wall Street bureau , 212-859-1736",E. Auchard,,Wall Street bureau
243,Gateway Data Sciences Q2 net rises .,,,Gateway Data Sciences
244,PHOENIX 1996-08-22,,PHOENIX,
245,Summary of Consolidated Financial Data,,,Consolidated Financial Data
246,"( In Thousands , except per share data )",,,
247,Six Months Ended Quarter Ended,,,
248,"Jul 31 , Jul 31 , Jul 31 , Jul 31 ,",,,
249,1996 1995 1996 1995,,,
250,Income Statement Data :,,,
251,"Total Revenue $ 10,756 $ 13,102 $ 7,961 $ 5,507",,,
252,"Software Revenue 2,383 1,558 1,086 1,074",,,
253,"Services Revenue 1,154 692 624 465",,,
254,Operating Income 906 962 599 515,,,
255,Net Income 821 512 565 301,,,
256,Earnings Per Share 0.31 0.34 0.19 0.20,,,
257,"Jul 31 , 1996 Jan 31 , 1996",,,
258,Balance Sheet Data :,,,
259,"Working Capital $ 5,755 ( $ 881 )",,,
260,"Cash and Cash Equivalents 2,386 93",,,
261,"Total Assets 14,196 7,138",,,
262,"Shareholders ' Equity 5,951 ( 1,461 )",,,
263,Greek socialists give PM green light for election .,,,
264,ATHENS 1996-08-22,,ATHENS,
265,"The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .",Costas Simitis;Costas Skandalidis,,
266,"Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis;Skandalidis,,
267,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,,Athens Newsroom
268,PRESS DIGEST - France - Le Monde Aug 22 .,,France,Le Monde
269,PARIS 1996-08-22,,PARIS,
270,"These are leading stories in Thursday 's afternoon daily Le Monde , dated Aug 23 .",,,Le Monde
271,FRONT PAGE,,,
272,"-- Africans seeking to renew or obtain work and residence rights say Prime Minister Alain Juppe 's proposals are insufficient as hunger strike enters 49th day in Paris church and Wednesday rally attracts 8,000 sympathisers .",Alain Juppe,Paris,
273,-- FLNC Corsican nationalist movement announces end of truce after last night 's attacks .,,,FLNC
274,BUSINESS PAGES,,,
275,"-- Shutdown of Bally 's French factories points up shoe industry crisis , with French manufacturers undercut by low-wage country competition and failure to keep abreast of trends .",,,Bally
276,-- Secretary general of the Sud-PTT trade union at France Telecom all the elements are in place for social unrest in the next few weeks .,,,France Telecom
277,-- Paris Newsroom +33 1 42 21 53 81,,,Paris Newsroom
278,Well repairs to lift Heidrun oil output - Statoil .,,Heidrun,Statoil
279,OSLO 1996-08-22,,OSLO,
280,"Three plugged water injection wells on the Heidrun oilfield off mid-Norway will be reopened over the next month , operator Den Norske Stats Oljeselskap AS ( Statoil ) said on Thursday .",,Heidrun,Den Norske Stats Oljeselskap AS;Statoil
281,"The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .",,Heidrun,Status Weekly
282,"The wells will be reperforated and gravel will be pumped into the reservoir through one of the wells to avoid plugging problems in the future , it said .",,,
283,-- Oslo newsroom +47 22 42 50 41,,Oslo,
